iter	Passed	Remaining
0	1	78
1	2	60
2	3	62
3	5	62
4	6	62
5	8	60
6	9	58
7	10	55
8	11	53
9	12	49
10	13	48
11	14	46
12	15	44
13	16	42
14	17	40
15	18	39
16	19	37
17	20	36
18	21	34
19	22	33
20	22	31
21	23	29
22	23	28
23	24	26
24	25	25
25	25	23
26	26	22
27	27	21
28	28	20
29	29	19
30	30	18
31	31	17
32	31	16
33	32	15
34	32	14
35	33	13
36	34	12
37	35	11
38	36	10
39	36	9
40	37	8
41	38	7
42	39	6
43	40	5
44	41	4
45	41	3
46	42	2
47	43	1
48	44	0
49	45	0
